user_id,Cond,condition,cluster
mclkxfz3rgz1pibicz.sss,0,非対称的/サマリー,1
mcll4ctj75ys035ren.wee,0,非対称的/サマリー,0
mcll4p2b9leju4ephg.p77,0,非対称的/サマリー,0
mcll4rmr92dljfi9xm.p77,0,非対称的/サマリー,0
mcll5335u98sk4zlq7,0,非対称的/サマリー,0
mcll53kpea68dgzp2d.p77,0,非対称的/サマリー,1
mcll53y5mokezfxqsl.3ll,0,非対称的/サマリー,1
mcll5d8gtm7gpvejzy.eee,0,非対称的/サマリー,0
mcll5i6tngqzd7yacu,0,非対称的/サマリー,0
mcll5n2tno4ajmj2cj.sss,0,非対称的/サマリー,0
mcll5orr7i85sm6ff1,0,非対称的/サマリー,1
mcll63uzmmcu60sol7,0,非対称的/サマリー,0
mcll67un6dq3qzcvqy.3ll,0,非対称的/サマリー,0
mcll69r400de3351rn.3ll,0,非対称的/サマリー,0
mcll6bmok1n0njv0ab.eee,0,非対称的/サマリー,1
mcll6gl3azf90l1dyb.wee,0,非対称的/サマリー,1
mcll6i5ndu9zsn77sq.lll,0,非対称的/サマリー,1
mcll6io834fgdcmx9b.eee,0,非対称的/サマリー,0
mcll6pqayp5g03ajyy.lll,0,非対称的/サマリー,1
mcll74eoaxj4gdji59.777,0,非対称的/サマリー,0
mcll74m49tz5dbzdvw.i,0,非対称的/サマリー,1
mcll75x1khrd37rv6o.3ll,0,非対称的/サマリー,0
mcll7g1wnjo34rftxf,0,非対称的/サマリー,0
mcll7k4xxus6re6pgl.sss,0,非対称的/サマリー,1
mcll7l8t73kp42x45p,0,非対称的/サマリー,0
mcll7o7izxwcup5a2m,0,非対称的/サマリー,0
mcll7ucumfq161wvm0.sss,0,非対称的/サマリー,0
mcll7xcpe3xxlwp8ze.i,0,非対称的/サマリー,0
mcll88l4qcxkx40mm3k.ee,0,非対称的/サマリー,0
mcll8j4hhna0cjf4h7.lll,0,非対称的/サマリー,0
mcll9pp4h1gfdq6330.777,0,非対称的/サマリー,1
